Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-RC-A7SB-01	0	25	15	15	15	10	0
TCGA-RC-A7SF-01	33	0	15	20	15	12	0
TCGA-RC-A7SH-01	31	26	0	27	0	7	0
TCGA-RC-A7SK-01	70	101	0	0	0	25	12
TCGA-RG-A7D4-01	45	27	0	28	19	0	10
TCGA-UB-A7MA-01	55	0	0	26	28	0	0
TCGA-UB-A7MB-01	0	950	0	0	0	1107	0
TCGA-UB-A7MC-01	32	0	17	11	21	10	0
TCGA-UB-A7MD-01	64	0	0	38	31	18	0
TCGA-UB-A7ME-01	56	0	0	21	0	44	0
TCGA-UB-A7MF-01	79	0	0	35	20	0	8
TCGA-UB-AA0U-01	0	25	19	28	35	0	0
TCGA-UB-AA0V-01	23	0	14	25	0	0	0
TCGA-WJ-A86L-01	66	0	53	26	31	0	0
